Gene	R16	R24	R30	L16	L24	L30	Annotation
Ha412HOChr05g00015580	SAM208	SAM004	SAM004	SAM208	SAM004	SAM004	Encodes a protein localized to phloem filaments that is required for phloem filament formation. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015588	No Change	SAM004	No Change	SAM208	SAM004	SAM004	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.
Ha412HOChr05g00015589	SAM004	SAM004	No Change	No Change	SAM004	No Change	No TAIR Homolog
Ha412HOChr05g00015592	SAM208	SAM208	SAM208	No Change	No Change	No Change	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.
Ha412HOChr05g00015598	SAM004	SAM004	SAM004	No Change	No Change	No Change	Encodes a mitogen-activated kinase whose mRNA levels increase in response to touch, cold, salinity stress and chitin oligomers.Also functions in ovule development. Heterozygous MPK3 mutants in a homozygous MPK6 background are female sterile due to defects in integument development. MPK3 can be dephosphorylated by MKP2 in vitro. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015606	SAM004	SAM004	SAM004	SAM004	SAM004	SAM208	Encodes a protein with malate synthase activity.
Ha412HOChr05g00015612	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	F-box/RNI-like superfamily protein;(source:Araport11)
Ha412HOChr05g00015620	SAM208	SAM208	SAM208	SAM208	SAM208	SAM208	secE/sec61-gamma protein transport protein;(source:Araport11)
Ha412HOChr05g00015620	SAM208	SAM208	SAM208	SAM208	SAM208	SAM208	secE/sec61-gamma protein transport protein;(source:Araport11)
Ha412HOChr05g00015633	SAM004	SAM004	SAM004	SAM004	SAM208	SAM208	Heavy metal transport/detoxification superfamily protein;(source:Araport11)
Ha412HOChr05g00015643	SAM004	SAM004	SAM004	No Change	No Change	No Change	MORC7 is a member of a family of  GHKL ATPases. It is localized in the nuceloplasm and adjacent to chromocenters. Along with MORC4, it appears to repress the expression of genes involved in defense against pathogens.
Ha412HOChr05g00015647	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	transmembrane protein;(source:Araport11)
Ha412HOChr05g00015652	SAM208	SAM208	SAM208	No Change	No Change	No Change	ATP/DNA binding protein;(source:Araport11)
Ha412HOChr05g00015658	No Change	SAM208	SAM208	No Change	No Change	No Change	ATP/DNA binding protein;(source:Araport11)
Ha412HOChr05g00015659	SAM004	SAM004	SAM004	SAM208	SAM208	SAM208	Protein kinase superfamily protein;(source:Araport11)
Ha412HOChr05g00015662	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	No TAIR Homolog
Ha412HOChr05g00015663	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	No TAIR Homolog
Ha412HOChr05g00015664	SAM208	No Change	SAM208	No Change	No Change	No Change	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015675	SAM004	SAM004	SAM004	No Change	No Change	No Change	RHD2 (along with RHD3 and RHD4) is required for normal root hair elongation. Has NADPH oxidase activity. Gene is expressed in the elongation and differention zone in trichoblasts and elongating root hairs. RDH2 is localized to the growing tips of root hair cells. It is required for the production of reactive oxygen species in response to extracellular ATP stimulus. The increase in ROS production stimulates Ca2+ influx.
Ha412HOChr05g00015676	No Change	No Change	SAM208	No Change	No Change	No Change	No TAIR Homolog
Ha412HOChr05g00015684	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	ephrin-A3 protein;(source:Araport11)
Ha412HOChr05g00015685	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015687	SAM004	SAM208	SAM004	SAM004	SAM004	SAM004	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015688	No Change	No Change	No Change	SAM208	SAM208	SAM208	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015693	SAM004	SAM208	SAM208	SAM004	SAM004	SAM004	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015697	SAM004	SAM208	SAM208	SAM004	SAM004	SAM004	Encodes an endoplasmic reticulum protein SDF2 (stromal-derived factor-2).  Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.
Ha412HOChr05g00015700	SAM208	SAM208	SAM208	SAM004	SAM004	SAM004	Encodes a protein with boron transporter activity. It helps to preferentially direct boron to young developing tissues in the shoot, such as immature leaves, under low boron conditions. This boron channel appears to be impermeable to water, unlike the closely related NIP5;1 boron transporter. This protein also allows the transport of glycerol, urea, and formimide but not larger uncharged solutes such as arabitol and sucrose when it is expressed heterologously.
Ha412HOChr05g00015707	SAM004	SAM004	SAM004	SAM004	No Change	SAM004	PPPDE putative thiol peptidase family protein;(source:Araport11)
Ha412HOChr05g00015711	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	Major facilitator superfamily protein;(source:Araport11)
Ha412HOChr05g00015712	SAM208	SAM208	SAM208	SAM208	SAM208	SAM208	Sterile alpha motif (SAM) domain-containing protein;(source:Araport11)
Ha412HOChr05g00015717	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	CBS domain-containing protein;(source:Araport11)
Ha412HOChr05g00015732	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	Component of autophagy conjugation pathway. Required for proper senescence. Contributes to plant basal immunity towards fungal infection.
Ha412HOChr05g00015733	SAM004	SAM004	SAM004	No Change	No Change	No Change	No TAIR Homolog
Ha412HOChr05g00015739	SAM004	SAM208	SAM208	No Change	No Change	SAM004	Plant transposase (Ptta/En/Spm family);(source:Araport11)
Ha412HOChr05g00015754	SAM208	SAM208	SAM208	SAM208	SAM208	SAM208	Developmental regulator, ULTRAPETALA;(source:Araport11)
Ha412HOChr05g00015755	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	No TAIR Homolog
Ha412HOChr05g00015757	SAM004	SAM004	SAM004	No Change	SAM004	SAM004	No TAIR Homolog
Ha412HOChr05g00051132	No Change	SAM004	No Change	SAM004	SAM004	SAM004	No TAIR Homolog
Ha412HOChr05g00051135	SAM004	SAM004	SAM004	No Change	No Change	No Change	No TAIR Homolog
Ha412HOChr05g00051136	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	pfkB-like carbohydrate kinase family protein;(source:Araport11)
Ha412HOChr05g00051138	SAM208	SAM004	SAM004	SAM208	SAM208	SAM208	No TAIR Homolog
Ha412HOChr05g00051142	No Change	SAM004	No Change	No Change	No Change	No Change	NAD(P)-linked oxidoreductase superfamily protein;(source:Araport11)
Ha412HOChr05g00051144	SAM004	SAM004	SAM208	SAM004	SAM004	SAM004	No TAIR Homolog
Ha412HOChr05g00051155	SAM004	SAM208	SAM208	SAM208	No Change	No Change	No TAIR Homolog
Ha412HOChr05g00051156	SAM004	SAM004	SAM004	SAM004	SAM004	SAM004	No TAIR Homolog
Ha412HOChr05g00051157	SAM208	SAM208	SAM208	No Change	No Change	No Change	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
Ha412HOChr05g00051162	SAM004	SAM208	SAM208	SAM004	SAM004	SAM004	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein;(source:Araport11)
Ha412HOChr05g00051167	SAM004	SAM004	No Change	No Change	No Change	No Change	actin binding protein;(source:Araport11)
Ha412HOChr05g00051179	SAM004	SAM004	No Change	No Change	No Change	No Change	hypothetical protein;(source:Araport11)
Ha412HOChr05g00051182	SAM004	SAM004	SAM004	SAM004	SAM004	No Change	Amidase family protein;(source:Araport11)
