Gene	R16	R24	R30	L16	L24	L30	Annotation
Ha412HOChr05g00015539	****	ns	ns	****	ns	ns	Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.
Ha412HOChr05g00015543	ns	ns	ns	ns	****	****	kinetochore protein;(source:Araport11)
Ha412HOChr05g00015562	ns	****	ns	****	ns	ns	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
Ha412HOChr05g00015577	ns	ns	***	ns	ns	ns	Wound-responsive gene 3 (WR3).  Encodes a high-affinity nitrate transporter. Up-regulated by nitrate. Involved in jasmonic acid-independent wound signal transduction.
Ha412HOChr05g00015580	ns	ns	****	ns	ns	ns	Encodes a protein localized to phloem filaments that is required for phloem filament formation. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015588	ns	****	ns	**	ns	*	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.
Ha412HOChr05g00015589	****	****	ns	ns	****	ns	No TAIR Homolog
Ha412HOChr05g00015592	ns	****	ns	ns	ns	ns	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.
Ha412HOChr05g00015598	**	*	ns	ns	ns	ns	Encodes a mitogen-activated kinase whose mRNA levels increase in response to touch, cold, salinity stress and chitin oligomers.Also functions in ovule development. Heterozygous MPK3 mutants in a homozygous MPK6 background are female sterile due to defects in integument development. MPK3 can be dephosphorylated by MKP2 in vitro. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015606	ns	****	ns	ns	ns	ns	Encodes a protein with malate synthase activity.
Ha412HOChr05g00015612	*	****	ns	**	****	ns	F-box/RNI-like superfamily protein;(source:Araport11)
Ha412HOChr05g00015620	*	**	****	ns	ns	ns	secE/sec61-gamma protein transport protein;(source:Araport11)
Ha412HOChr05g00015620	*	**	****	ns	ns	ns	secE/sec61-gamma protein transport protein;(source:Araport11)
Ha412HOChr05g00015633	****	ns	ns	ns	ns	ns	Heavy metal transport/detoxification superfamily protein;(source:Araport11)
Ha412HOChr05g00015643	**	***	**	ns	ns	ns	MORC7 is a member of a family of  GHKL ATPases. It is localized in the nuceloplasm and adjacent to chromocenters. Along with MORC4, it appears to repress the expression of genes involved in defense against pathogens.
Ha412HOChr05g00015647	*	ns	ns	ns	***	ns	transmembrane protein;(source:Araport11)
Ha412HOChr05g00015652	ns	*	*	ns	ns	ns	ATP/DNA binding protein;(source:Araport11)
Ha412HOChr05g00015658	ns	*	ns	ns	ns	ns	ATP/DNA binding protein;(source:Araport11)
Ha412HOChr05g00015659	ns	ns	*	**	**	ns	Protein kinase superfamily protein;(source:Araport11)
Ha412HOChr05g00015662	****	****	****	****	****	****	No TAIR Homolog
Ha412HOChr05g00015663	****	****	****	****	****	****	No TAIR Homolog
Ha412HOChr05g00015664	****	ns	*	ns	ns	ns	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015675	ns	*	ns	ns	ns	ns	RHD2 (along with RHD3 and RHD4) is required for normal root hair elongation. Has NADPH oxidase activity. Gene is expressed in the elongation and differention zone in trichoblasts and elongating root hairs. RDH2 is localized to the growing tips of root hair cells. It is required for the production of reactive oxygen species in response to extracellular ATP stimulus. The increase in ROS production stimulates Ca2+ influx.
Ha412HOChr05g00015676	ns	ns	**	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00015684	**	ns	ns	*	***	***	ephrin-A3 protein;(source:Araport11)
Ha412HOChr05g00015685	***	ns	*	****	ns	****	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015687	ns	ns	ns	***	****	ns	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015688	ns	ns	ns	ns	ns	*	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015693	ns	ns	****	ns	****	****	At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth. The mRNA is cell-to-cell mobile.
Ha412HOChr05g00015697	ns	ns	****	*	ns	ns	Encodes an endoplasmic reticulum protein SDF2 (stromal-derived factor-2).  Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.
Ha412HOChr05g00015700	ns	ns	*	**	*	ns	Encodes a protein with boron transporter activity. It helps to preferentially direct boron to young developing tissues in the shoot, such as immature leaves, under low boron conditions. This boron channel appears to be impermeable to water, unlike the closely related NIP5;1 boron transporter. This protein also allows the transport of glycerol, urea, and formimide but not larger uncharged solutes such as arabitol and sucrose when it is expressed heterologously.
Ha412HOChr05g00015707	****	***	*	ns	ns	ns	PPPDE putative thiol peptidase family protein;(source:Araport11)
Ha412HOChr05g00015711	****	****	****	****	****	****	Major facilitator superfamily protein;(source:Araport11)
Ha412HOChr05g00015712	ns	*	*	ns	**	ns	Sterile alpha motif (SAM) domain-containing protein;(source:Araport11)
Ha412HOChr05g00015717	****	****	****	****	ns	ns	CBS domain-containing protein;(source:Araport11)
Ha412HOChr05g00015732	**	****	*	**	****	****	Component of autophagy conjugation pathway. Required for proper senescence. Contributes to plant basal immunity towards fungal infection.
Ha412HOChr05g00015733	****	****	****	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00015739	ns	ns	ns	ns	ns	*	Plant transposase (Ptta/En/Spm family);(source:Araport11)
Ha412HOChr05g00015754	ns	ns	ns	**	**	*	Developmental regulator, ULTRAPETALA;(source:Araport11)
Ha412HOChr05g00015755	***	****	*	****	**	***	No TAIR Homolog
Ha412HOChr05g00015757	****	****	**	ns	ns	****	No TAIR Homolog
Ha412HOChr05g00051132	ns	****	ns	****	****	****	No TAIR Homolog
Ha412HOChr05g00051135	****	****	***	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00051136	****	ns	*	***	ns	ns	pfkB-like carbohydrate kinase family protein;(source:Araport11)
Ha412HOChr05g00051138	ns	ns	ns	ns	*	*	No TAIR Homolog
Ha412HOChr05g00051142	ns	****	ns	ns	ns	ns	NAD(P)-linked oxidoreductase superfamily protein;(source:Araport11)
Ha412HOChr05g00051144	*	ns	ns	****	ns	ns	No TAIR Homolog
Ha412HOChr05g00051155	ns	ns	**	****	ns	ns	No TAIR Homolog
Ha412HOChr05g00051156	**	**	*	ns	ns	ns	No TAIR Homolog
Ha412HOChr05g00051157	****	****	****	ns	ns	ns	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
Ha412HOChr05g00051162	ns	ns	ns	****	ns	ns	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein;(source:Araport11)
Ha412HOChr05g00051167	**	*	ns	ns	ns	ns	actin binding protein;(source:Araport11)
Ha412HOChr05g00051179	****	****	ns	ns	ns	ns	hypothetical protein;(source:Araport11)
Ha412HOChr05g00051182	****	****	****	ns	****	ns	Amidase family protein;(source:Araport11)
